error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
8.731104862714846	7.179127307876238	False	False	False	False	0.113255326335445
8.731104862714846	8.731104862714846	False	False	False	False	0.18544685423689744
8.731104862714846	10.618587587949342	False	False	False	False	0.3324778065305849
8.731104862714846	12.914104702195969	True	True	False	False	
8.731104862714846	15.705864728049711	True	True	False	False	
8.731104862714846	19.101145030506867	True	True	False	False	
8.731104862714846	23.23041410288293	True	True	False	False	
8.731104862714846	28.252345004947657	True	True	False	False	
8.731104862714846	34.35991260179622	True	True	False	False	
8.731104862714846	41.787808898564755	True	True	False	False	
8.731104862714846	50.82146141581522	True	True	False	False	
8.731104862714846	61.80800114953867	True	True	False	False	
8.731104862714846	75.16960157530129	True	True	False	False	
8.731104862714846	91.41970126681093	True	True	False	False	
8.731104862714846	111.18273350618666	True	True	False	False	
8.731104862714846	135.21812102437377	True	True	False	False	
8.731104862714846	164.44945790386396	True	True	False	False	
8.731104862714846	200.0	True	True	False	False	
10.618587587949342	1.5	False	False	False	False	0.0029342761108896998
10.618587587949342	1.8242687073822879	False	False	False	False	0.005443936623611867
10.618587587949342	2.2186375444894955	False	False	False	False	0.009360302369804119
10.618587587949342	2.6982606969571097	False	False	False	False	0.015645783046072115
10.618587587949342	3.2815683692122515	False	False	False	False	0.025858293161377777
10.618587587949342	3.9909749913929575	False	False	False	False	0.042489197525126476
10.618587587949342	4.853740525828978	False	False	False	False	0.06963451381880259
10.618587587949342	5.90301797001537	False	False	False	False	0.11471935409405298
10.618587587949342	7.179127307876238	False	False	False	False	0.19465700152050003
10.618587587949342	8.731104862714846	True	True	False	False	
10.618587587949342	10.618587587949342	True	True	False	False	
10.618587587949342	12.914104702195969	True	True	False	False	
10.618587587949342	15.705864728049711	True	True	False	False	
10.618587587949342	19.101145030506867	True	True	False	False	
10.618587587949342	23.23041410288293	True	True	False	False	
10.618587587949342	28.252345004947657	True	True	False	False	
10.618587587949342	34.35991260179622	True	True	False	False	
10.618587587949342	41.787808898564755	True	True	False	False	
10.618587587949342	50.82146141581522	True	True	False	False	
10.618587587949342	61.80800114953867	True	True	False	False	
10.618587587949342	75.16960157530129	True	True	False	False	
10.618587587949342	91.41970126681093	True	True	False	False	
10.618587587949342	111.18273350618666	True	True	False	False	
10.618587587949342	135.21812102437377	True	True	False	False	
10.618587587949342	164.44945790386396	True	True	False	False	
10.618587587949342	200.0	True	True	False	False	
12.914104702195969	1.5	False	False	False	False	0.004161262855569836
12.914104702195969	1.8242687073822879	False	False	False	False	0.007911714466822373
12.914104702195969	2.2186375444894955	False	False	False	False	0.013929297144172015
12.914104702195969	2.6982606969571097	False	False	False	False	0.023778589560488506
12.914104702195969	3.2815683692122515	False	False	False	False	0.04004063146378356
12.914104702195969	3.9909749913929575	False	False	False	False	0.06709760931503372
12.914104702195969	4.853740525828978	False	False	False	False	0.11318843890482588
12.914104702195969	5.90301797001537	False	False	False	False	0.19820975987984024
12.914104702195969	7.179127307876238	True	True	False	False	
12.914104702195969	8.731104862714846	True	True	False	False	
12.914104702195969	10.618587587949342	True	True	False	False	
12.914104702195969	12.914104702195969	True	True	False	False	
12.914104702195969	15.705864728049711	True	True	False	False	
12.914104702195969	19.101145030506867	True	True	False	False	
12.914104702195969	23.23041410288293	True	True	False	False	
12.914104702195969	28.252345004947657	True	True	False	False	
12.914104702195969	34.35991260179622	True	True	False	False	
12.914104702195969	41.787808898564755	True	True	False	False	
12.914104702195969	50.82146141581522	True	True	False	False	
12.914104702195969	61.80800114953867	True	True	False	False	
12.914104702195969	75.16960157530129	True	True	False	False	
12.914104702195969	91.41970126681093	True	True	False	False	
12.914104702195969	111.18273350618666	True	True	False	False	
12.914104702195969	135.21812102437377	True	True	False	False	
12.914104702195969	164.44945790386396	True	True	False	False	
12.914104702195969	200.0	True	True	False	False	
15.705864728049711	1.5	False	False	False	False	0.006036049486474848
15.705864728049711	1.8242687073822879	False	False	False	False	0.011739156064365153
15.705864728049711	2.2186375444894955	False	False	False	False	0.021101641022092776
15.705864728049711	2.6982606969571097	False	False	False	False	0.03670696725395661
15.705864728049711	3.2815683692122515	False	False	False	False	0.06305336353177493
15.705864728049711	3.9909749913929575	False	False	False	False	0.10881483043977092
15.705864728049711	4.853740525828978	False	False	False	False	0.19569807640131054
15.705864728049711	5.90301797001537	True	True	False	False	
15.705864728049711	7.179127307876238	True	True	False	False	
15.705864728049711	8.731104862714846	True	True	False	False	
15.705864728049711	10.618587587949342	True	True	False	False	
15.705864728049711	12.914104702195969	True	True	False	False	
15.705864728049711	15.705864728049711	True	True	False	False	
15.705864728049711	19.101145030506867	True	True	False	False	
15.705864728049711	23.23041410288293	True	True	False	False	
15.705864728049711	28.252345004947657	True	True	False	False	
15.705864728049711	34.35991260179622	True	True	False	False	
15.705864728049711	41.787808898564755	True	True	False	False	
15.705864728049711	50.82146141581522	True	True	False	False	
