alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.24	0.3872619047619047	0.03873809523809524	0.4867522559599717	-0.4867522559599717	0.006599549337057282	0.7279878774416804	0.009065465980353467	False
0.24	0.40738095238095234	0.01861904761904759	0.4867522559599717	-0.4867522559599717	0.003172002201339144	0.7683368338230746	0.004128400542189238	False
0.28	0.06535714285714285	0.3566428571428571	0.4317105234290797	-0.4317105234290797	0.05388826608703486	0.09020609746883278	0.5973905046236355	False
0.28	0.08547619047619047	0.33652380952380945	0.4317105234290797	-0.4317105234290797	0.05084830448455509	0.12689615129660622	0.4007080117481467	False
0.28	0.10559523809523809	0.31640476190476186	0.4317105234290797	-0.4317105234290797	0.04780834288207532	0.16491548047478125	0.2898960288290591	False
0.28	0.1257142857142857	0.29628571428571426	0.4317105234290797	-0.4317105234290797	0.04476838127959556	0.20380262851831912	0.21966537725773974	False
0.28	0.14583333333333331	0.2761666666666666	0.4317105234290797	-0.4317105234290797	0.04172841967711578	0.24327266495805228	0.17152942228141846	False
0.28	0.16595238095238093	0.25604761904761897	0.4317105234290797	-0.4317105234290797	0.03868845807463601	0.28313917646107756	0.13664113372864323	False
0.28	0.18607142857142855	0.23592857142857138	0.4317105234290797	-0.4317105234290797	0.035648496472156246	0.32327512167157857	0.1102729349781894	False
0.28	0.20619047619047617	0.21580952380952376	0.4317105234290797	-0.4317105234290797	0.03260853486967648	0.3635913152033327	0.08968458130371093	False
0.28	0.2263095238095238	0.19569047619047614	0.4317105234290797	-0.4317105234290797	0.029568573267196707	0.4040237759613656	0.07318523073756969	False
0.28	0.24642857142857139	0.17557142857142854	0.4317105234290797	-0.4317105234290797	0.02652861166471694	0.4445258882626736	0.05967844025552228	False
0.28	0.26654761904761903	0.1554523809523809	0.4317105234290797	-0.4317105234290797	0.023488650062237167	0.4850633369835424	0.04842388255584467	False
0.28	0.2866666666666666	0.1353333333333333	0.4317105234290797	-0.4317105234290797	0.020448688459757402	0.5256107202753384	0.03890462593503699	False
0.28	0.3067857142857143	0.11521428571428566	0.4317105234290797	-0.4317105234290797	0.01740872685727763	0.5661492176490285	0.030749361324861498	False
0.28	0.32690476190476186	0.09509523809523807	0.4317105234290797	-0.4317105234290797	0.014368765254797862	0.6066649443412278	0.02368484513375135	False
0.28	0.34702380952380946	0.07497619047619047	0.4317105234290797	-0.4317105234290797	0.011328803652318097	0.6471477647032196	0.017505744854907225	False
0.28	0.3671428571428571	0.05485714285714283	0.4317105234290797	-0.4317105234290797	0.008288842049838324	0.6875904201676329	0.012054912062063813	False
0.28	0.3872619047619047	0.034738095238095235	0.4317105234290797	-0.4317105234290797	0.00524888044735856	0.7279878774416804	0.007210120676465593	False
