fate	j	sigma	omega	amp_late	amp_mid	growth	drift	u_eq	a_eq	t_end	n_blocks_run	n_blocks_budget	t_block	efolds	converged	u_min	u_max	a_amp_rel	a_mean_over_eq	u_mean_over_eq	n_peaks	period	period_cv	peak_cv	period_predicted	name	frac	j_over_jcrit
cycle	0.0659573141772604	0.0004462839968864341	0.09527825579316122	0.39463051724418813	0.3945703913574751	1.0001523831692138	8.817999693011329e-05	0.7473837837348932	0.09545702549658117	39567.38243080164	6	41	6594.56373846694	17.658289577552228	True	0.7291427510685036	0.7635659740787883	0.39491089362455556	1.0007104782020542	0.999490923901037	48	65.96212791664857	0.009789964006832278	0.00017802509449560056	65.9456373846694	draw1357	0.08	1.0284866500300096
cycle	0.06615580604248887	0.0009420723098672798	0.09682882404361916	0.5790426555334149	0.5790419079712869	1.0000012910328557	0.00024038816710697804	0.7429630507290531	0.10075748975984479	25955.84680177116	4	20	6488.96170044279	24.452284551105805	True	0.7138241215757419	0.7675083118906888	0.5808302196475998	1.0030871026462433	0.9987618617438677	48	64.90584346529431	0.012145932169214741	0.0002546812421270404	64.88961700442789	draw1357	0.22000000000000003	1.0315817765686432
cycle	0.06635429790771734	0.0012045100238606892	0.09814263349341641	0.6601919218528803	0.6601005403508429	1.0001384357328187	0.00010846990019925975	0.7384626137750104	0.10608530879390564	25608.382752847465	4	16	6402.095688211866	30.84555372066596	True	0.7029312199408445	0.7678138816999829	0.6639973050224369	1.0057640559413035	0.998216215400267	48	64.03696612365002	0.01234612729844502	0.0003294145384839784	64.02095688211865	draw1357	0.36000000000000004	1.034676903107277
cycle	0.06655278977294579	0.0012598211627146087	0.09925178063664743	0.6799701943431036	0.6798440985352874	1.0001854775353465	0.000192258732904233	0.7338805378648291	0.11145691487447028	25322.206883851522	4	16	6330.551720962881	31.901452118913692	True	0.6951751200467549	0.7658082350897092	0.6854321301221951	1.008032610582833	0.9978924571728146	48	64.90438123517833	0.012339642987889442	0.00021304454265154082	63.3055172096288	draw1357	0.5	1.0377720296459103
cycle	0.06675128163817426	0.0011285458097001566	0.10017990893030478	0.647707182768758	0.6478023928249241	0.9998530260813782	0.00013132615559855303	0.7292142540618765	0.11688670706216564	25087.60638443304	4	17	6271.90159610826	28.312513060558803	True	0.6906057329227959	0.7614800536572282	0.6536281616459667	1.0091414439035524	0.9978551634919098	47	62.734699635992	0.012183702692744568	0.00026477736584940947	62.7190159610826	draw1357	0.64	1.040867156184544
cycle	0.06694977350340273	0.000826964674451024	0.10094456074151685	0.5580024645047443	0.5580845224027274	0.9998529651070955	0.00017707556014972305	0.7244606295217881	0.1223877509769738	31121.96071301252	5	24	6224.392142602504	25.736762109313958	True	0.6900117839061496	0.7540694529348043	0.5624533404055089	1.007976444879531	0.9982446903701796	48	62.259486297599324	0.01134856666325514	0.00023171284470817764	62.24392142602503	draw1357	0.78	1.0439622827231776
cycle	0.0671482653686312	0.00036806997152206977	0.10155871370213278	0.37468468579193787	0.3746488121988363	1.0000957525873124	0.00010501012379818801	0.7196159966394041	0.12797228104303005	43307.26093996744	7	53	6186.751562852491	15.94010230087266	True	0.6960310317288109	0.7409638727021973	0.37622286892913065	1.0041052735687386	0.9991309556758611	48	61.88298637511889	0.008316217996479035	0.0001579555777722021	61.867515628524906	draw1357	0.92	1.0470574092618112
cycle	0.09885327100494774	0.00288718905618391	0.1052071760731706	1.0652028120278525	1.0654191691514738	0.9997969276976745	0.0004268659942048979	1.20918194305278	0.16315648626545337	17916.606666097636	3	8	5972.202222032545	51.72863069030878	True	1.0949863641779958	1.3024475408118747	1.0987749331329977	1.031517116483417	0.9908515789365642	48	59.736956459440535	0.011106072922149306	0.0003864281019337736	59.72202222032545	draw1379	0.08	0.6649326587688412
cycle	0.10199806339496716	0.006246186011651783	0.10452364323210224	1.5181111940531993	1.5174654895538966	1.0004255151130275	0.000467521719993371	1.1916165427315992	0.19306596375561558	18033.77239700875	3	8	6011.257465669583	112.6422968835081	True	1.0004906633904385	1.3424736887340023	1.632628098434394	1.0754338053956685	0.98002351681791	47	60.12760655833608	0.012312132442116288	0.0005280076018079219	60.112574656695834	draw1379	0.22000000000000003	0.6860859817081193
cycle	0.10514285578498658	0.007910740195878316	0.10358413416248521	1.6882488145970398	1.6874392519265806	1.000479758112498	0.0010964055114220852	1.1707963119685445	0.22582355990714048	18197.33888200559	3	8	6065.779627335198	143.95442015190102	True	0.9349028716311032	1.3653491425027553	1.8692712634660507	1.1072249820665316	0.9747766539206255	47	60.67296451448078	0.012259950807517404	0.0005185115427911751	60.65779627335197	draw1379	0.36000000000000004	0.7072393046473974
