u	a	j	eps	mode	lambda	R_j	G_j	w_dot_Fj	margin	grad_G
1.188365225584668	0.0010398942257467455	0.010811561506703763	100.0	influx	-1.0144126088939431	-0.7035577309898313	0.31732376117945577	1.381660506547741	1.381660506547741	2.629052206439172
0.12701405938868973	0.2346613808319145	0.020681633595663464	100.0	influx	2.1380395881940846	-0.3897064181437095	0.246711212662098	1.9171847576666448	1.9171847576666448	0.05534291515783925
0.21222050032155065	0.6349892515197697	0.050277927729860956	0.01	burden	1.013795829410071	0.0	0.0	1.0	1.0	0.14565670651078216
0.6686562304360221	2.7958016605158242	0.09336504930112144	0.01	burden	-0.294900943379768	0.0	0.0	1.0	1.0	0.5159368680151271
0.5973068450473552	0.00034223373353594976	0.15815059844015814	0.01	burden	-0.9612176174599787	0.0	0.0	1.0	1.0	1.9348889082325413
0.47983694940588945	0.053443476785402545	0.0855543517455259	0.01	burden	34.73141045450593	0.0	0.0	1.0	1.0	0.004684761760587785
0.38356963357544266	0.005643163605870054	0.385772788075812	0.01	burden	81.38412594052234	0.0	0.0	1.0	1.0	0.0040647435640632345
0.035677980401693274	0.007198827594712071	0.016720653146138714	0.01	burden	100.39060560060155	0.0	0.0	1.0	1.0	0.004552767001192599
0.2700748305959132	0.002758265772301148	1.616517550997807	0.01	burden	2.707972280901121	0.0	0.0	1.0	1.0	0.44037229092223407
0.9256831552753171	0.0645387161759562	0.009573894404401003	0.01	burden	-0.053243430962488215	0.0	0.0	1.0	1.0	0.3317504833128311
0.3373543767521461	0.17604936833765067	0.18520972121361695	0.01	burden	40.59305437932137	0.0	0.0	1.0	1.0	0.027456735700401146
