name	ok	n_turns	j_crit	j_turn	ratio
nu=0.2374,chi=0.1	True	1	0.23368162924422223	0.2306321556720898	0.9869503067828006
nu=0.2374,chi=0.167	True	1	0.22405070202181118	0.22157762501880768	0.988961976103236
nu=0.2374,chi=0.233	True	1	0.21448228507458708	0.2125682586312216	0.9910760627960493
nu=0.2374,chi=0.3	True	1	0.204986890219635	0.2036096227505008	0.9932811924330451
nu=0.2374,chi=0.367	True	1	0.19557587021995745	0.19462142563678483	0.995119824433867
nu=0.2374,chi=0.433	True	1	0.18626127862655603	0.18567525506198293	0.996853755279174
nu=0.2374,chi=0.5	True	1	0.17705466738481104	0.1767690800767864	0.9983870105643476
nu=0.2374,chi=0.567	True	1	0.167967448323224	0.16784658086255674	0.9992804114018886
nu=0.2374,chi=0.633	True	0	0.15900939606359848		
nu=0.2374,chi=0.7	True	0	0.15018874046023947		
nu=0.2374,chi=0.767	True	0	0.1415114351430721		
nu=0.2374,chi=0.833	True	0	0.13298035703830124		
nu=0.2374,chi=0.9	True	0	0.12459597197579839		
nu=0.3258,chi=0.1	True	1	0.23323130298115896	0.23014674901515417	0.9867746999370236
nu=0.3258,chi=0.167	True	1	0.2232799755604717	0.22075035933125947	0.9886706534123249
nu=0.3258,chi=0.233	True	1	0.2133727977735349	0.21138219783699108	0.9906707886041942
nu=0.3258,chi=0.3	True	1	0.20351873970440115	0.20204857999959042	0.992776293195673
nu=0.3258,chi=0.367	True	1	0.19372761238284053	0.19269347912125626	0.9946619211951023
nu=0.3258,chi=0.433	True	1	0.1840093669962365	0.1833355957322298	0.9963383860560725
nu=0.3258,chi=0.5	True	1	0.17437486026992546	0.1740338856317267	0.9980445883215565
nu=0.3258,chi=0.567	True	1	0.16483447710502197	0.16466829850266745	0.9989918456061311
nu=0.3258,chi=0.633	True	1	0.15539815930375608	0.15536835843413127	0.999808228940688
nu=0.3258,chi=0.7	True	0	0.14607473605288526		
nu=0.3258,chi=0.767	True	0	0.1368713500661042		
nu=0.3258,chi=0.833	True	0	0.12779335837814984		
nu=0.3258,chi=0.9	True	0	0.11884326919347041		
nu=0.4472,chi=0.1	True	1	0.23266044121045543	0.22953117589124833	0.9865500757115109
nu=0.4472,chi=0.167	True	1	0.2223054599965815	0.21970457787827558	0.9883004127818277
nu=0.4472,chi=0.233	True	1	0.2119740252540151	0.2098879204599208	0.990158677264375
nu=0.4472,chi=0.3	True	1	0.20167314486102803	0.20008514214679438	0.9921258593189096
nu=0.4472,chi=0.367	True	1	0.19141052748366988	0.190274633178319	0.9940656644110246
nu=0.4472,chi=0.433	True	1	0.1811944424189797	0.18041066732973646	0.9956743977421179
nu=0.4472,chi=0.5	True	1	0.17103405456881351	0.17057796615483162	0.9973333473551117
nu=0.4472,chi=0.567	True	1	0.16093882147268668	0.1607131419009091	0.9985977306798168
nu=0.4472,chi=0.633	True	1	0.15091828925239664	0.15083636596660444	0.9994571679403601
nu=0.4472,chi=0.7	True	0	0.1409815847081089		
nu=0.4472,chi=0.767	True	0	0.13113743782264303		
nu=0.4472,chi=0.833	True	0	0.12139300424345184		
nu=0.4472,chi=0.9	True	0	0.11175425864146335		
nu=0.6138,chi=0.1	True	1	0.23195418722986366	0.22876434427892559	0.9862479613365334
nu=0.6138,chi=0.167	True	1	0.22110388917392945	0.21841810445106238	0.9878528381707735
nu=0.6138,chi=0.233	True	1	0.21025513027318454	0.20805406496586143	0.989531454930668
nu=0.6138,chi=0.3	True	1	0.19941268361899647	0.19768219536880716	0.9913220753124429
nu=0.6138,chi=0.367	True	1	0.1885824280950265	0.18730585467204935	0.9932306873133806
nu=0.6138,chi=0.433	True	1	0.17777052597654094	0.17685321926156455	0.9948399392422486
nu=0.6138,chi=0.5	True	1	0.16698433458051481	0.16638699170152252	0.9964227609704054
